bssamt,plnprc,bidNtceNo
,117500000,R25BK00699109
,107800000,R25BK00702891
,76670000,R25BK00696313
,202860000,R25BK00692929
142191000,142193200,R25BK00691617
78400000,78721475,R25BK00686528
,,R25BK00685590
80066000,80321050,R25BK00685922
,,R25BK00675366
,,R25BK00673553
,,R25BK00675951
,,R25BK00679035
,,R25BK00665569
,50000000,R25BK00708640
,79340000,R25BK00705291
,7469000,R25BK00708949
,,R25BK00693783
39160000,38970900,R25BK00693422
70452000,70544375,R25BK00694666
,,R25BK00697683
66000000,65257525,R25BK00689567
,38298690000,R25BK00697824
,,R25BK00656723
,98000000,R25BK00709912
,4620000,R25BK00709974
,19866000,R25BK00710227
52598980,51774925,R25BK00694220
,3731790000,R25BK00710537
,,R25BK00680593
,,R25BK00676104
,,R25BK00673492
,,R25BK00673239
,,R25BK00676564
,,R25BK00682858
,,R25BK00682196
,,R25BK00656084
,,R25BK00660461
,,R25BK00659874
,21979000,R25BK00709808
,49549500,R25BK00709240
,21406000,R25BK00709865
,37400000,R25BK00707246
,,R25BK00708624
,197920000,R25BK00710647
,143996000,R25BK00708586
,48500000,R25BK00707528
,22000000,R25BK00709741
,40612000,R25BK00697526
,254800000,R25BK00709339
,,R25BK00697857
39000000,38920342.51,R25BK00696670
200000000,197162000,R25BK00687375
5380000,5391750,R25BK00696560
170000000,166884750,R25BK00686205
,,R25BK00696169
,,R25BK00694566
45000000,45074175,R25BK00691837
,400000000,R25BK00705693
,735000000,R25BK00704439
,19943000,R25BK00710483
,122500000,R25BK00705655
109912000,110528650,R25BK00687217
,,R25BK00680419
,,R25BK00685316
,,R25BK00660676
,,R25BK00659629
,,R25BK00658458
,,R25BK00661575
,21879000,R25BK00710591
,326000000,R25BK00709616
,65126800,R25BK00708060
,21991200,R25BK00710590
,19943000,R25BK00710378
36000000,35912025,R25BK00688398
37000000,37027225,R25BK00710221
,,R25BK00684151
,,R25BK00684428
,,R25BK00656127
,70000000,R25BK00711174
,4390940000,R25BK00710381
,,R25BK00684217
,,R25BK00684003
,,R25BK00680349
105290000,104734375,R25BK00676536
,,R25BK00678623
451500000,456226125,R25BK00647482
,,R25BK00672042
,,R25BK00674619
,,R25BK00648259
,,R25BK00652473
,,R25BK00650308
,,R25BK00694928
31200000,31365400,R25BK00688241
26884000,26993125,R25BK00692809
31502000,31364300,R25BK00692997
,2185400000,R25BK00705872
,1681220000,R25BK00705295
,,R25BK00660142
,,R25BK00658937
,,R25BK00669904
,,R25BK00660947
,,R25BK00660262
,,R25BK00678365
,,R25BK00677050
1460000,1463300,R25BK00685431
173850000,173105975,R25BK00690442
,,R25BK00684921
,,R25BK00694205
245000000,244443875,R25BK00684715
,,R25BK00666066
,,R25BK00678873
,,R25BK00674185
,,R25BK00677328
,,R25BK00678181
,,R25BK00680311
,,R25BK00655287
,,R25BK00679966
,,R25BK00676973
,,R25BK00648130
,,R25BK00659721
,,R25BK00656732
,,R25BK00663583
,,R25BK00646190
,,R25BK00646107
,,R25BK00660124
,,R25BK00655324
,,R25BK00660565
,,R25BK00656756
,,R25BK00638508
,,R25BK00595431
,,R25BK00605693
,147380000,R25BK00701037
,,R25BK00689606
308550000,308249975,R25BK00691354
87630000,86748475,R25BK00678850
44100000,44535425,R25BK00689999
83000000,82983250,R25BK00690658
40202700,40584175,R25BK00691935
149264180,149911650,R25BK00691832
111672000,112373050,R25BK00689749
112042000,112710650,R25BK00689806
171690000,171480575,R25BK00686741
98000000,98166400,R25BK00689424
110520000,110183250,R25BK00691600
175750000,176691625,R25BK00691138
,,R25BK00690847
,,R25BK00690915
150546000,150599125,R25BK00691530
144045000,144820400,R25BK00694532
440200341,443139825,R25BK00690820
202574000,203175700,R25BK00690419
152598230,152032500,R25BK00691768
153529000,154112850,R25BK00689854
,,R25BK00689834
121660000,122915875,R25BK00689941
466728000,468431600,R25BK00690507
148896000,148167225,R25BK00689582
,,R25BK00689891
225000000,224889225,R25BK00692113
166660000,167241275,R25BK00691001
180000000,179012250,R25BK00690575
125430800,126505775,R25BK00674526
163750000,164843875,R25BK00695618
,,R25BK00690300
150536000,149093150,R25BK00691103
216912000,214122575,R25BK00691355
65578000,66138750,R25BK00681169
148536500,149593775,R25BK00678574
1747900000,1730259400,R25BK00675315
40000,39544.1,R25BK00671606
309757660,309785600,R25BK00673948
397800000,398172025,R25BK00665431
368020000,362797850,R25BK00652225
345240000,345215025,R25BK00655740
177000000,177702300,R25BK00667928
19600000,19615575,R25BK00633409
,,R25BK00677063
,,R25BK00681495
,,R25BK00681450
,,R25BK00681453
,,R25BK00675512
,,R25BK00678807
,,R25BK00679929
509803000,508180600,R25BK00677577
,,R25BK00681488
,,R25BK00681468
,,R25BK00681486
,,R25BK00682928
,,R25BK00681491
,,R25BK00678386
,,R25BK00670162
,,R25BK00681480
,,R25BK00681479
,,R25BK00685386
,,R25BK00681443
,,R25BK00685362
84280000,83836925,R25BK00676573
,,R25BK00681483
,,R25BK00678821
,,R25BK00672181
,,R25BK00681498
,,R25BK00681475
,,R25BK00681481
,,R25BK00665592
,,R25BK00669098
,,R25BK00662537
246958200,247650350,R25BK00659781
,,R25BK00665304
,,R25BK00661583
,,R25BK00669357
,,R25BK00654276
,181920000,R25BK00712582
,203000000,R25BK00704600
,50000000,R25BK00709594
,44000000,R25BK00702033
,,R25BK00697019
,,R25BK00703964
,,R25BK00697108
39000000,38899477.51,R25BK00693058
,,R25BK00691242
,,R25BK00699436
,,R25BK00689748
29296820,28977175,R25BK00690662
,,R25BK00690288
,,R25BK00692391
60137000,59425025,R25BK00699787
14190000,14306900,R25BK00697882
,,R25BK00689367
,,R25BK00698762
98790000,98736450,R25BK00692060
43200000,43030825,R25BK00687953
,,R25BK00689708
66000000,65992625,R25BK00689388
91850000,91653725,R25BK00699974
,,R25BK00697182
71000000,72173125,R25BK00699831
51050000,51178950,R25BK00698014
48920000,49135425,R25BK00698001
42105000,42546925,R25BK00700119
,,R25BK00697780
50000000,50172375,R25BK00698194
78000000,76660975,R25BK00698327
33429000,33340025,R25BK00697139
32120000,31974625,R25BK00699618
,,R25BK00698162
75760000,76192475,R25BK00697024
37080000,37754925,R25BK00700200
66847000,66142325,R25BK00698803
45640000,45344750,R25BK00697886
45199000,45393975,R25BK00699866
62044000,61500700,R25BK00700015
,,R25BK00698663
48807000,48314825,R25BK00698917
33800000,33609350,R25BK00703487
62901000,62577125,R25BK00698256
35100000,35329925,R25BK00703417
52756000,52907600,R25BK00699108
5460000,5465475,R25BK00697829
35843000,35875225,R25BK00699160
48054000,48178050,R25BK00697544
97394000,98606850,R25BK00699854
60000000,59864700,R25BK00699579
30294000,30130750,R25BK00699594
47100000,47100750,R25BK00699572
39983000,39497175,R25BK00699623
39160000,39419175,R25BK00699779
23195700,23246325,R25BK00700256
,,R25BK00697393
50080000,50091950,R25BK00699780
52756000,52686675,R25BK00699065
60000000,60057600,R25BK00698089
59180000,59391775,R25BK00697339
35295000,35111350,R25BK00702941
35398000,34986275,R25BK00698588
58526000,58597900,R25BK00699746
21180000,21203000,R25BK00697726
50000000,49666875,R25BK00699496
,,R25BK00698227
47773000,47882450,R25BK00700048
99342000,98889550,R25BK00699591
,,R25BK00697360
,,R25BK00698628
21285000,21461450,R25BK00698424
93800000,93717525,R25BK00699980
33657250,33768725,R25BK00698292
40172000,40049625,R25BK00699030
44430000,44323525,R25BK00697012
40000000,40586300,R25BK00697039
49709000,49574550,R25BK00699549
,,R25BK00694623
32724000,32254125,R25BK00689534
14725400,14925100,R25BK00690981
,,R25BK00689669
26166000,25990800,R25BK00696953
36058000,35647600,R25BK00696385
,,R25BK00696777
31350000,31272925,R25BK00696914
46760000,46614975,R25BK00696820
,,R25BK00696951
,,R25BK00699556
30761000,30283250,R25BK00697461
78792800,77920600,R25BK00699981
,,R25BK00699209
33580000,33485425,R25BK00697761
48480000,47928975,R25BK00697867
83754000,83741100,R25BK00699912
93136000,92691100,R25BK00698971
54593000,54797500,R25BK00697689
23749000,23657250,R25BK00696932
77561000,77407875,R25BK00699754
55720000,55588400,R25BK00699655
7095000,7049475,R25BK00697594
,,R25BK00698055
23749000,23727275,R25BK00697084
70455000,70451350,R25BK00698857
63420000,63799950,R25BK00699031
31130000,30953250,R25BK00697883
80000000,79034800,R25BK00699357
87910000,87570050,R25BK00697552
62480000,62647650,R25BK00699950
25600000,25562525,R25BK00698474
26000000,25834800,R25BK00698616
83754000,85285700,R25BK00699933
26488000,26361250,R25BK00698548
,,R25BK00697896
,,R25BK00699298
,,R25BK00697289
102050000,101903625,R25BK00699517
82000000,81423775,R25BK00698179
,,R25BK00697810
,,R25BK00699648
,,R25BK00697984
43490000,43454275,R25BK00697604
18234000,18286125,R25BK00698509
56639000,56332800,R25BK00698759
,,R25BK00699521
,,R25BK00702802
63636364,64018400,R25BK00699614
43246000,43688800,R25BK00699210
43200000,42812975,R25BK00696499
28470000,28553325,R25BK00696958
71060000,70286050,R25BK00696455
14520000,14516600,R25BK00696945
63000000,62435250,R25BK00695555
,,R25BK00693663
16100000,15917600,R25BK00696477
24170000,23826875,R25BK00699612
50211000,50291900,R25BK00684358
38799000,38576225,R25BK00695769
70282000,70042375,R25BK00693460
,,R25BK00694005
95200000,95737475,R25BK00680108
,,R25BK00696584
45838000,45610825,R25BK00698088
50820000,50513600,R25BK00686283
283920,278086.16,R25BK00691249
27086400,27071500,R25BK00695987
61561500,61356825,R25BK00696558
18250000,18486100,R25BK00696782
97984000,97483350,R25BK00696753
41340000,41313775,R25BK00693123
58070000,58466800,R25BK00696639
96756000,97568325,R25BK00696512
37000030,36609375,R25BK00694733
46310000,46073625,R25BK00695262
79562700,79361275,R25BK00696700
,,R25BK00694290
8880000,8935875,R25BK00694677
,,R25BK00694320
42000000,41667500,R25BK00693814
284570,281331.6,R25BK00690965
109000000,108933300,R25BK00695234
22920000,22662650,R25BK00694899
,,R25BK00696992
99343000,99870550,R25BK00696189
56000000,55880200,R25BK00697015
70668720,71160800,R25BK00696971
58355000,58900800,R25BK00691413
63860000,63686825,R25BK00696955
284730,285420.48,R25BK00690393
284570,283362.01,R25BK00690896
49852000,49541600,R25BK00696476
29900000,30086150,R25BK00696073
81810000,81652125,R25BK00696344
50000000,49861125,R25BK00695767
,,R25BK00691299
21396600,21491475,R25BK00694157
26367500,26227225,R25BK00672286
10080000,10098150,R25BK00694781
68238000,68287200,R25BK00694759
80940000,81150925,R25BK00696556
,,R25BK00644033
